Wave(nm)   Sample(counts)   Dark(counts)   Reference(counts)   AbsoluteIrradiance(µWatt/cm²/nm)   Photon Counts(µMol/s/m²/nm)
 175.65   190.634   189.595   0.000   0.00000   0.00000
 186.25   209.635   208.219   0.000   10.00000   0.00000
 196.85   206.645   205.519   0.000   50.00000   0.00000
 207.45   207.192   205.651   0.000   20.00000   0.00000
 218.05   200.247   199.022   0.000   10.00000   0.00000
 228.65   198.282   197.236   0.000   30.00000   0.00000
 239.25   190.999   189.935   0.000   70.00000   0.00000
 249.85   201.531   200.485   0.000   80.00000   0.00000
 250.45   190.652   189.611   0.000   90.00000   0.00000
 261.05   232.928   231.744   0.000   10.00000   0.00000
 271.65   196.376   195.302   0.000   60.00000   0.00000
 282.25   215.277   214.248   0.000   50.00000   0.00000
 292.86   213.650   212.413   0.000   40.00000   0.00000
 303.46   208.847   207.677   0.000   60.00000   0.00000
 314.06   191.597   190.606   0.000   50.00000   0.00000
 324.66   180.278   179.019   0.000   20.00000   0.00000
 335.26   222.708   221.525   0.000   30.00000   0.00000
 345.86   202.465   201.445   0.000   20.00000   0.00000
 356.46   222.636   221.339   0.000   10.00000   0.00000
 
