
Integration time [ms]:   0.200
Averaging Nr. [scans]: 65000
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7213323SP
Wave   ;Sample   ;Dark     ;Reference;Absolute Irradiance  ;Photon Counts
[nm]   ;[counts] ;[counts] ;[counts] ;[µWatt/cm²/nm]       ;[µMol/s/m²/nm]

 175.65;  190.634;  189.595;    0.000; 0.00000; 0.00000
 176.25;  209.635;  208.219;    0.000; 0.00000; 0.00000
 176.85;  206.645;  205.519;    0.000; 0.00000; 0.00000
 177.45;  207.192;  205.651;    0.000; 0.00000; 0.00000
 178.05;  200.247;  199.022;    0.000; 0.00000; 0.00000
 178.65;  198.282;  197.236;    0.000; 0.00000; 0.00000
 179.25;  190.999;  189.935;    0.000; 0.00000; 0.00000
 179.85;  201.531;  200.485;    0.000; 0.00000; 0.00000
 180.45;  190.652;  189.611;    0.000; 0.00000; 0.00000
 181.05;  232.928;  231.744;    0.000; 0.00000; 0.00000
 181.65;  196.376;  195.302;    0.000; 0.00000; 0.00000
 182.25;  215.277;  214.248;    0.000; 0.00000; 0.00000
 182.86;  213.650;  212.413;    0.000; 0.00000; 0.00000
 183.46;  208.847;  207.677;    0.000; 0.00000; 0.00000
 184.06;  191.597;  190.606;    0.000; 0.00000; 0.00000
 184.66;  180.278;  179.019;    0.000; 0.00000; 0.00000
 185.26;  222.708;  221.525;    0.000; 0.00000; 0.00000
 185.86;  202.465;  201.445;    0.000; 0.00000; 0.00000
 186.46;  222.636;  221.339;    0.000; 0.00000; 0.00000
 187.06;  204.527;  203.311;    0.000; 0.00000; 0.00000
 187.66;  227.195;  225.879;    0.000; 0.00000; 0.00000
 188.26;  231.906;  230.528;    0.000; 0.00000; 0.00000
 188.86;  211.637;  210.363;    0.000; 0.00000; 0.00000
 189.46;  207.056;  205.746;    0.000; 0.00000; 0.00000
 190.06;  199.503;  198.176;    0.000; 0.00000; 0.00000
 190.66;  203.294;  201.820;    0.000; 0.00000; 0.00000
 191.26;  222.219;  220.851;    0.000; 0.00000; 0.00000
 191.86;  217.225;  215.784;    0.000; 0.00000; 0.00000
 192.46;  216.187;  214.592;    0.000; 0.00000; 0.00000
 193.06;  218.174;  216.703;    0.000; 0.00000; 0.00000
 193.66;  205.406;  203.465;    0.000; 0.00000; 0.00000
 194.26;  225.282;  223.221;    0.000; 0.00000; 0.00000
 194.86;  188.058;  185.605;    0.000; 0.00000; 0.00000
 195.46;  194.919;  191.576;    0.000; 0.00000; 0.00000
 196.06;  209.926;  205.589;    0.000; 0.00000; 0.00000
 196.66;  187.306;  181.667;    0.000; 0.00000; 0.00000
 197.26;  190.266;  182.666;    0.000; 0.00000; 0.00000
 197.86;  221.167;  211.351;    0.000; 0.00000; 0.00000
 198.46;  193.192;  180.998;    0.000; 0.00000; 0.00000
 199.06;  222.596;  207.867;    0.000; 0.00000; 0.00000
 199.66;  215.016;  197.771;    0.000; 0.00000; 0.00000
 200.26;  208.823;  188.479;    0.000;117.28854; 1.96306
 200.85;  227.735;  203.616;    0.000;133.76190; 2.24548
 201.45;  223.364;  195.742;    0.000;145.41898; 2.44845
 202.05;  228.392;  197.405;    0.000;154.96667; 2.61697
 202.65;  226.835;  192.390;    0.000;164.13135; 2.77996
 203.25;  219.225;  182.497;    0.000;166.11438; 2.82187
 203.85;  234.972;  197.162;    0.000;163.73757; 2.78970
 204.45;  266.440;  228.691;    0.000;156.80274; 2.67940
 205.05;  206.181;  170.381;    0.000;141.53620; 2.42562
 205.65;  213.597;  180.308;    0.000;123.34292; 2.12001
 206.25;  235.801;  205.654;    0.000;107.14279; 1.84693
 206.85;  209.801;  184.508;    0.000;85.36518; 1.47580
 207.45;  211.953;  191.597;    0.000;65.41164; 1.13412
 208.05;  196.113;  180.300;    0.000;48.79018; 0.84838
 208.65;  194.840;  183.712;    0.000;33.25095; 0.57984
 209.25;  182.709;  174.842;    0.000;22.64161; 0.39597
 209.84;  210.522;  205.159;    0.000;15.21672; 0.26688
 210.44;  190.845;  186.872;    0.000;10.98939; 0.19329
 211.04;  221.844;  218.402;    0.000; 9.23546; 0.16290
 211.64;  190.376;  187.411;    0.000; 7.59612; 0.13437
 212.24;  202.105;  199.395;    0.000; 6.68427; 0.11857
 212.84;  194.988;  192.152;    0.000; 6.78200; 0.12064
 213.44;  182.473;  179.885;    0.000; 5.90210; 0.10529
 214.04;  179.817;  177.341;    0.000; 5.41616; 0.09689
 214.64;  197.765;  195.249;    0.000; 5.25651; 0.09430
 215.24;  178.760;  176.387;    0.000; 4.80815; 0.08649
 215.83;  199.187;  196.582;    0.000; 5.06381; 0.09135
 216.43;  167.577;  164.974;    0.000; 4.89915; 0.08862
 217.03;  174.881;  172.497;    0.000; 4.37043; 0.07928
 217.63;  180.597;  178.153;    0.000; 4.30417; 0.07829
 218.23;  188.405;  185.873;    0.000; 4.38079; 0.07990
 218.83;  179.469;  176.979;    0.000; 4.17939; 0.07644
 219.43;  178.241;  175.751;    0.000; 4.06705; 0.07459
 220.03;  170.746;  168.349;    0.000; 3.78982; 0.06969
 220.62;  175.236;  172.885;    0.000; 3.61649; 0.06669
 221.22;  184.831;  182.470;    0.000; 3.51380; 0.06497
